t,phi,theta,psi,phi_b,theta_b,psi_b,tau_x,tau_y,tau_z
2.32,0.187389886336425,0,0,0.187389886336425,0,0,0.0675795413387663,-0,-0
2.33,0.187921042177741,0,0,0.187921042177741,0,0,0.0669194636800984,-0,-0
2.34,0.188448694706125,0,0,0.188448694706125,0,0,0.0662671553234944,-0,-0
2.35,0.18897286206357,0,0,0.18897286206357,0,0,0.0656225114544925,-0,-0
2.36,0.189493562347334,0,0,0.189493562347334,0,0,0.0649854283659827,-0,-0
2.37,0.190010813609939,0,0,0.190010813609939,0,0,0.0643558034582056,-0,-0
2.38,0.190524633859174,0,0,0.190524633859174,0,0,0.0637335352387516,-0,-0
2.39,0.191035041058093,0,0,0.191035041058093,0,0,0.0631185233225627,-0,-0
2.4,0.191542053125011,0,0,0.191542053125011,0,0,0.0625106684319312,-0,-0
2.41,0.192045687933513,0,0,0.192045687933513,0,0,0.0619098723964997,-0,-0
2.42,0.192545963312447,0,0,0.192545963312447,0,0,0.0613160381532611,-0,-0
2.43,0.193042897045924,0,0,0.193042897045924,0,0,0.0607290697465595,-0,-0
2.44,0.193536506873324,0,0,0.193536506873324,0,0,0.0601488723280896,-0,-0
2.45,0.194026810489288,0,0,0.194026810489288,0,0,0.0595753521568961,-0,-0
2.46,0.194513825543726,0,0,0.194513825543726,0,0,0.059008416599375,-0,-0
2.47,0.194997569641809,0,0,0.194997569641809,0,0,0.0584479741292722,-0,-0
2.48,0.195478060343975,0,0,0.195478060343975,0,0,0.0578939343276846,-0,-0
2.49,0.195955315165927,0,0,0.195955315165927,0,0,0.0573462078830594,-0,-0
2.5,0.196429351578634,0,0,0.196429351578634,0,0,0.0568047065911944,-0,-0
2.51,0.196900187008327,0,0,0.196900187008327,0,0,0.0562693433552385,-0,-0
2.52,0.197367838836505,0,0,0.197367838836505,0,0,0.0557400321856907,-0,-0
2.53,0.19783232439993,0,0,0.19783232439993,0,0,0.0552166882004005,-0,-0
2.54,0.19829366099063,0,0,0.19829366099063,0,0,0.0546992276245684,-0,-0
2.55,0.198751865855898,0,0,0.198751865855898,0,0,0.0541875677907451,-0,-0
2.56,0.199206956198291,0,0,0.199206956198291,0,0,0.0536816271388318,-0,-0
2.57,0.199658949175632,0,0,0.199658949175632,0,0,0.053181325216081,-0,-0
2.58,0.200107861901009,0,0,0.200107861901009,0,0,0.0526865826770944,-0,-0
2.59,0.200553711442775,0,0,0.200553711442775,0,0,0.0521973212838268,-0,-0
2.6,0.200996514824547,0,0,0.200996514824547,0,0,0.0517134639055802,-0,-0
2.61,0.201436289025208,0,0,0.201436289025208,0,0,0.0512349345190095,-0,-0
2.62,0.201873051058479,0,0,0.201873051058479,0,0,0.050761657991866,-0,-0
2.63,0.202306818603131,0,0,0.202306818603131,0,0,0.0502935625841094,-0,-0
