Time_s,Position_Z_m,Velocity_Z_m_s
11.9,-0.898493707180023,0.033116340637207
11.92,-0.897823512554169,0.0330433249473572
11.94,-0.897171974182129,0.0303402543067932
11.96,-0.896609902381897,0.0319138169288635
11.98,-0.895895421504974,0.0362515449523926
12,-0.895159840583801,0.0383391976356506
12.02,-0.894361853599548,0.0406607985496521
12.04,-0.893533408641815,0.0416547060012817
12.06,-0.892695665359497,0.0429004430770874
12.08,-0.891817390918732,0.043971836566925
12.1,-0.89093679189682,0.0439852476119995
12.12,-0.890057981014252,0.0442802906036377
12.14,-0.889165580272675,0.0473782420158386
12.16,-0.888162851333618,0.0509589910507202
12.18,-0.887127220630646,0.052526593208313
12.2,-0.886061787605286,0.0527024269104004
12.22,-0.88501912355423,0.0529170036315918
12.24,-0.883945107460022,0.0568345189094543
12.26,-0.882745742797852,0.0572830438613892
12.28,-0.881653785705566,0.0579953193664551
12.3,-0.880425930023193,0.0616982579231262
12.32,-0.879185855388641,0.062185525894165
